
创意艺术	上海	319424126,319424126,320008608,320008608,
	剑桥大学	31937124,31937124,327127123,327127123,321869932,321869932,295074195,295074195,276488630,276488630,316093721,316093721,32058015,32058015,305685211,305685211,302836305,302836305,41857410,41857410,
	四夕罗	275564505,275564505,266126751,266126751,50628951,50628951,51370111,51370111,64983206,64983206,48803371,48803371,65548821,65548821,23215226,23215226,62392427,62392427,
创意艺术	冰岛	
教育	美国加州	
	我们的太空	304160528,48510028,304160528,351964089,48510028,351964089,351991857,48510028,351991857,351831350,48510028,351831350,351823646,48510028,351823646,351542727,48510028,351542727,349613825,48510028,349613825,348639185,48510028,348639185,347411547,48510028,347411547,347791409,48510028,347791409,
高新科技	北京	
	即刻	266978803,266978803,61174249,61174249,48483977,48483977,
财务	澳大利亚	271090339,271090339,278594044,278594044,351093236,351093236,349536880,349536880,342179353,342179353,21416053,21416053,348158304,348158304,348832762,348832762,61597865,61597865,42075714,42075714,
高等教育	青岛	330993785,48510028,330993785,330235820,48510028,330235820,24811233,48510028,24811233,321695737,48510028,321695737,31502257,48510028,31502257,23305736,48510028,23305736,328450551,48510028,328450551,21466753,48510028,21466753,324256166,48510028,324256166,325166718,48510028,325166718,
互联网	广州市	349983608,349983608,343095105,343095105,348223963,348223963,349008981,349008981,30062423,30062423,347854421,347854421,347473813,347473813,338990284,338990284,
	等风来	345333806,345333806,344759717,344759717,338479846,338479846,334483667,334483667,332747244,332747244,302415770,302415770,323280707,323280707,323849901,323849901,316113560,316113560,321598798,321598798,
计算机硬件		265108412,265108412,265000218,265000218,264709046,264709046,264383395,264383395,264617138,264617138,264576385,264576385,264188664,264188664,68331909,68331909,264445565,264445565,264236023,264236023,
	学园都市风纪委员第177支部	352507127,352507127,352166145,352166145,351767940,351767940,351992880,351992880,351865946,351865946,351920358,351920358,351797373,351797373,351155109,351155109,351193531,351193531,351582185,351582185,
	梅赛德斯-奔驰	31524027,48510028,31524027,265781540,48510028,265781540,306809846,48510028,306809846,41558555,48510028,41558555,
教育	重庆	352252298,352252298,302062042,302062042,25883658,25883658,267325056,267325056,38971497,38971497,31000102,31000102,334391742,334391742,347537429,347537429,24978587,24978587,49924009,49924009,
	周诗勇	348990398,348990398,37442854,37442854,345453506,345453506,342016897,342016897,336129356,336129356,336867884,336867884,333243689,333243689,334572848,334572848,332829944,332829944,327601675,327601675,
资本投资	one dream	33629171,33629171,31912867,31912867,20749139,20749139,19559893,19559893,22220905,22220905,20095504,20095504,42481334,42481334,21764547,21764547,38187017,38187017,
	北京市	294283981,48510028,294283981,26343571,48510028,26343571,337642994,48510028,337642994,
旅游	上海市	26246072,26246072,280728629,280728629,278498150,278498150,276638648,276638648,23804366,23804366,267925511,267925511,51517020,51517020,267627849,267627849,35696171,35696171,22159864,22159864,
	美国	
资本投资	北京	351122226,351122226,265660805,265660805,351470445,351470445,351074765,351074765,349942003,349942003,350605172,350605172,350113338,350113338,343995371,343995371,349998035,349998035,349712935,349712935,
计算机软件	上海	333165246,333165246,34808832,34808832,327624530,326926486,327624530,327624530,40577512,40577512,267230043,267230043,264090022,264090022,68099193,68099193,30814779,30814779,66045473,66045473,65077539,65077539,
互联网	广州市	19960643,48510028,19960643,344411299,48510028,344411299,344411161,48510028,344411161,343033809,48510028,343033809,27856618,48510028,27856618,335703363,48510028,335703363,330378420,48510028,330378420,328128885,48510028,328128885,326598347,48510028,326598347,327589131,48510028,327589131,
	摩登中产	265890550,265890550,29228007,29228007,21626665,21626665,34651180,34651180,46842994,46842994,22901782,22901782,24871100,24871100,51865848,51865848,33178973,33178973,52127140,52127140,
高等教育	英国	352473175,48510028,352473175,351920965,48510028,351920965,346862321,48510028,346862321,23448791,48510028,23448791,349870265,48510028,349870265,346198994,48510028,346198994,348916228,48510028,348916228,345282592,48510028,345282592,334189586,48510028,334189586,340516766,48510028,340516766,
	桂花糕	56571458,56571458,332057583,332057583,26680255,26680255,325682965,325682965,323698705,323698705,267285465,267285465,
广告	电影	348313105,48509984,348313105,347885799,48509984,347885799,22130480,48509984,22130480,347298428,48509984,347298428,320572797,48509984,320572797,344007724,48509984,344007724,343807402,48509984,343807402,67739607,48509984,67739607,341568969,48509984,341568969,340129878,48509984,340129878,
	
造纸业	上海	40991265,40991265,323720508,323720508,314908467,314908467,31552490,31552490,266601777,266601777,28360083,28360083,61532552,61532552,25564134,25564134,57732950,57732950,53714111,53714111,
互联网	北京市	297726264,48509984,297726264,339495165,48509984,339495165,302242038,48509984,302242038,23900793,48509984,23900793,335092172,48509984,335092172,35186326,48509984,35186326,266233586,48509984,266233586,26290994,48509984,26290994,31149968,48509984,31149968,53675464,48509984,53675464,
