信息传媒	辽宁省沈阳市浑南二路6-11号1-20-3	毒,哺乳纲动物,海豚,海洋,哺乳纲动物,海豚,海洋,
		手机,分辨率,手机游戏,华为手机,EMUI,英雄联盟（LoL）,英雄联盟全球总决赛（LoL WCS）,RNG 战队（Royal Never Give Up）,Fnatic 战队,2019 英雄联盟全球总决赛（S9 WC）,英雄联盟（LoL）,英雄联盟全球总决赛（LoL WCS）,RNG 战队（Royal Never Give Up）,Fnatic 战队,2019 英雄联盟全球总决赛（S9 WC）,
军火		知乎,知乎社区,知乎用户,知乎使用,
互联网	圣芙蕾雅学院	中央处理器 (CPU),计算机,处理器,iPhone,iOS,iPad 应用,中央处理器 (CPU),芯片（集成电路）,iPhone,iOS,iPad 应用,中央处理器 (CPU),芯片（集成电路）,
餐饮	四川	娱乐,明星,娱乐圈,江一燕,健康,奶茶,食品科学,失眠,咖啡因,健康,奶茶,食品科学,失眠,咖啡因,
科研	少司命	谷歌 (Google),量子,量子计算机,知乎,知乎产品,谷歌 (Google),量子,量子计算机,
	巴黎（Paris）	综艺节目,实习生,薪酬待遇,南京大学,城市管理,南京大学,城市管理,
互联网	北京	程序员,编程,数码宝贝（动画）,知乎,知乎产品,程序员,编程,数码宝贝（动画）,
	小虾汉斯	中国历史,历史,军事,战争,战争史,刘备,宋江,人格魅力,刘备,宋江,人格魅力,
出版业	汉城	韩国政治,韩国总统,文在寅,韩国政治,韩国总统,文在寅,
	高群	电子竞技,英雄联盟（LoL）,英雄联盟职业联赛（LPL）,RNG 战队（Royal Never Give Up）,xiaohu（电竞选手）,游戏,游戏运营,端游,大圣归来（游戏）,游戏,游戏运营,端游,大圣归来（游戏）,
	北京	视频版权,留学,留学美国,德国留学,美国高中,寄宿家庭（homestay）,留学,留学美国,德国留学,美国高中,寄宿家庭（homestay）,
	合肥	英雄联盟（LoL）,英雄联盟全球总决赛（LoL WCS）,RNG 战队（Royal Never Give Up）,Fnatic 战队,2019 英雄联盟全球总决赛（S9 WC）,游戏,Steam,哔哩哔哩,敖厂长,大圣归来（游戏）,游戏,Steam,哔哩哔哩,敖厂长,大圣归来（游戏）,
服务业	澳大利亚	生活,儿童,幼儿教育,幼儿,幼儿园,NBA,篮球,勒布朗·詹姆斯（LeBron James）,丹尼斯·罗德曼（Dennis Rodman）,NBA 防守,NBA,篮球,勒布朗·詹姆斯（LeBron James）,丹尼斯·罗德曼（Dennis Rodman）,NBA 防守,
电子游戏	上海	游戏,游戏运营,端游,大圣归来（游戏）,游戏,单机游戏,电子游戏,社会心理学,黄赌毒,游戏,单机游戏,电子游戏,社会心理学,黄赌毒,
互联网	观察使	历史,文化,中国古代历史,中国,中国古代文化,
互联网	北京	书籍推荐,阅读,书籍,微信读书,书单,知乎,知乎产品,书籍推荐,阅读,书籍,微信读书,书单,
互联网	香港	大学生,大学,毕业,尚德,录取通知书（文书类型）,自卑,学历,自卑,学历,
	Halo	小说,文化,作家,文学,电影,上海堡垒（电影）,诛仙Ⅰ（电影）,电影,上海堡垒（电影）,诛仙Ⅰ（电影）,
	苏小船	中国历史,唐朝（李唐）,李世民（唐太宗）,中国历史,唐朝（李唐）,李世民（唐太宗）,
政府	湖南	结婚,礼物,婚宴,订婚,定亲,管理,职场,领导,上下级关系,职场心理,管理,职场,领导,上下级关系,职场心理,
餐饮	宁输输	心机,圆滑,好人,西游记（书籍）,神话,二郎神,西游记人物,西游记（书籍）,神话,二郎神,西游记人物,
互联网	北京	ACG,中国动漫,动漫,中国动画,哔哩哔哩,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,ACG,中国动漫,动漫,中国动画,哔哩哔哩,
高等教育	Columbus, OH	哲学,定义,哲学史,西方哲学,哲学术语,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,哲学,定义,哲学史,西方哲学,哲学术语,
渔业		钢铁雄心（Hearts of Iron）,欧陆风云（Europa Universalis）,十字军之王 2（Crusader Kings II）,群星（游戏）,P 社游戏,身高,身高,
	林明月	历史,三国,诸葛亮,三国演义（书籍）,萌,
	咕咚怪	小说,穿越,穿越小说,生活,心理,梦,做梦,梦的心理学,生活,心理,梦,做梦,梦的心理学,
银行	结构化融资 衍生品 资产证券化 固定收益	上海,医生,医院,社会,医患矛盾,
艺术娱乐	台北, 台湾	动漫,白箱,电影,长江图（电影）,电影,长江图（电影）,
广告	北京	ACG,天猫,花泽香菜,「双十一」购物狂欢节,日本声优,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,ACG,天猫,花泽香菜,「双十一」购物狂欢节,日本声优,
	悉尼 (Sydney)	唐朝（李唐）,娱乐圈,韩国娱乐圈,娱乐圈,韩国娱乐圈,
广播电视	东京	日本动漫,动漫,哔哩哔哩,哔哩哔哩漫画,鬼灭之刃（动漫）,财经,哔哩哔哩,UP主,财经,哔哩哔哩,UP主,
	美国	美国,破产,美国文化,申请破产,文化,文化入侵,性别差异,娘化,直女审美,文化,文化入侵,性别差异,娘化,直女审美,
	女主角	中国历史,历史,考古,历史研究,中国考古,普鲁士,地主阶级,普鲁士,地主阶级,
国防军事	北京	生活水平,消费观,战争,投降行为,战争,投降行为,
	王克丹	房产税,楼市,征收,金融学,经济,信用卡,消费,信用卡套现,金融学,经济,信用卡,消费,信用卡套现,
	深圳市	美食,糕点,甜品,烘焙,美食,烹饪,春节,过年,地域文化,美食,烹饪,春节,过年,地域文化,
		人物评价,用户,如何评价知乎用户xx,
	多伦多	历史,地球,社会,地质学,人类,香港,机场,记者,环球时报,香港,机场,记者,环球时报,
培训	成都	学习,高考,高中生,儿童教育,家庭教育,管理学,教育心理学,亲子关系,儿童教育,家庭教育,管理学,教育心理学,亲子关系,
	克莱登大学	哲学家,哲学史,西方哲学,互联网,数学,知乎话题,计算机科学,互联网,数学,知乎话题,计算机科学,
通信	石英	左派,社会主义（socialism）,如何评价知乎用户xx,左派,社会主义（socialism）,如何评价知乎用户xx,
医疗器材	violxzw	木工,数字控制,木工工具,三观,带有假设的问题,三观,带有假设的问题,
	知乎电影	电影,影视评论,李安（导演）,双子杀手（电影）,知乎,知乎产品,电影,影视评论,李安（导演）,双子杀手（电影）,
	上海科学技术职业学院	三线城市,革命,革命,
